model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.7388218594748048,0.5051724137931034,0.7834224598930482,0.6142557651991615,0.8407088790720504
DecisionTree,0.7544357700496807,0.5260223048327137,0.7566844919786097,0.6206140350877193,0.8317988064791133
RandomForest,0.7636621717530163,0.5393474088291746,0.7513368983957219,0.6279329608938548,0.8414826009455165
